,en,ru,pl,be,uk,bg,sl,cs
272, Black |0|  Sabbath |0|  are arguably one of the most influential heavy metal bands of all time.," Черный |0| Суббота |0| возможно, одна из самых влиятельных групп хэви-метала всех времен.", Czarny |0| Szabat |0| są prawdopodobnie jednym z najbardziej wpływowych zespołów heavy metalowych wszech czasów.," Чорны |0| Субота |0| з'яўляюцца, магчыма, адным з самых уплывовых хэві-метал-гуртоў усіх часоў."," Чорний |0| Субота |0| є, можливо, однією з найвпливовіших хеві-метал-груп усіх часів.", Черно |0| събота |0| са може би една от най-влиятелните хеви метъл банди на всички времена., Črna |0| sobota |0| so verjetno ena najvplivnejših heavy metal zasedb vseh časov., Černá |0| Sabat |0| jsou pravděpodobně jednou z nejvlivnějších heavymetalových kapel všech dob.
273, The Red |0|  Sox |0|  have two official requirements for a player to have his number retired:," Красный |0| Сокс |0| есть два официальных требования к игроку, чтобы его номер был удален:"," Czerwony |0| Sox |0| mają dwa oficjalne wymagania, aby gracz wycofał swój numer:"," Чырвоны |0| Сокс |0| ёсць два афіцыйныя патрабаванні да гульца, каб яго нумар быў скасаваны:"," Червоний |0| Сокс |0| мають дві офіційні вимоги до гравця, щоб його номер був вилучений:"," Червеният |0| Сокс |0| имат две официални изисквания за играч, за да бъде оттеглен номерът му:"," Rdeči |0| Sox |0| imajo dve uradni zahtevi za igralca, da se njegova številka umakne:"," Červená |0| Sox |0| mít dva oficiální požadavky na hráče, aby bylo jeho číslo zrušeno:"
274," The Red |0|  Sox |0|  have not issued several numbers since the departure of prominent players who wore them, specifically:"," Красный |0| Сокс |0| не выпускали несколько номеров после ухода выдающихся игроков, которые их носили, в частности:"," Czerwony |0| Sox |0| nie wydali kilku numerów od czasu odejścia wybitnych graczy, którzy je nosili, a konkretnie:"," Чырвоны |0| Сокс |0| не выдавалі некалькі нумароў з моманту сыходу выбітных гульцоў, якія іх насілі, у прыватнасці:"," Червоний |0| Сокс |0| не випустили кілька номерів з моменту відходу видатних гравців, які їх носили, а саме:"," Червеният |0| Сокс |0| не са издали няколко номера след напускането на видни играчи, които ги носеха, по-специално:"," Rdeči |0| Sox |0| niso izdali več številk od odhoda uglednih igralcev, ki so jih nosili, in sicer:"," Červená |0| Sox |0| nevydali několik čísel od odchodu prominentních hráčů, kteří je nosili, konkrétně:"
275," Radio |0|  1 |0|  provides alternative genres after 7:00pm including electronic dance, hip hop, rock or interviews."," Радио |0| 1 |0| предлагает альтернативные жанры после 19:00, включая электронный танец, хип-хоп, рок или интервью."," Radio |0| 1 |0| oferuje alternatywne gatunki po 19:00, w tym taniec elektroniczny, hip hop, rock czy wywiady."," Радыё |0| 1 |0| прапануе альтэрнатыўныя жанры пасля 19:00, уключаючы электронны танец, хіп-хоп, рок або інтэрв'ю."," Радіо |0| 1 |0| пропонує альтернативні жанри після 19:00, включаючи електронні танці, хіп-хоп, рок або інтерв’ю."," Радио |0| 1 |0| предоставя алтернативни жанрове след 19:00, включително електронни танци, хип-хоп, рок или интервюта."," Radio |0| 1 |0| ponuja alternativne zvrsti po 19:00, vključno z elektronskim plesom, hip hopom, rockom ali intervjuji."," Rádio |0| 1 |0| poskytuje alternativní žánry po 19:00 včetně elektronického tance, hip hopu, rocku nebo rozhovorů."
276, The BBC |0|  has not announced if support for the older boxes would be discontinued.," Би-би-си |0| не объявил, будет ли прекращена поддержка старых коробок."," BBC |0| nie ogłosił, czy wsparcie dla starszych pudełek zostanie przerwane."," BBC |0| не абвясціў, калі падтрымка старых боксаў будзе спыненая."," BBC |0| не оголосив, чи буде припинена підтримка старих коробок.", Би Би Си |0| не обяви дали поддръжката за по-старите кутии ще бъде прекратена.," BBC |0| ni objavil, ali bo podpora za starejše škatle ukinjena."," BBC |0| neoznámila, zda bude podpora starších boxů ukončena."
277," There are four main freight operating companies, the largest of which is DB |0|  Schenker |0| )."," Есть четыре основные грузовые компании, крупнейшая из которых DB |0| Шенкер |0| )."," Istnieją cztery główne firmy przewozowe, z których największa to DB |0| Schenker |0| )."," Ёсць чатыры асноўныя кампаніі па эксплуатацыі грузаў, найбуйнейшая з якіх - DB |0| Шэнкер |0| )."," Є чотири основні вантажні компанії, найбільшою з яких є DB |0| Шенкер |0| )."," Има четири основни компании за превоз на товари, най-голямата от които е DB |0| Шенкер |0| )."," Obstajajo štiri glavne družbe, ki opravljajo tovorni promet, od katerih je največja DB |0| Schenker |0| )."," Existují čtyři hlavní společnosti provozující nákladní dopravu, z nichž největší je DB |0| Schenker |0| )."
278," Bristol |0|  City |0|  have played in red and white since the 1890s, occasionally also including black."," Бристоль |0| Город |0| играли в красно-белых с 1890-х годов, иногда включая черных."," Bristol |0| Miasto |0| grali w czerwieni i bieli od lat 90. XIX wieku, czasami także w kolorze czarnym."," Брысталь |0| Горад |0| гуляюць у чырвона-белых з 1890-х гадоў, часам таксама ўключаючы чорных."," Брістоль |0| Місто |0| грають у червоно-білих з 1890-х років, іноді також включаючи чорних."," Бристол |0| Град |0| играят в червено и бяло от 1890-те, понякога включвайки и черни."," Bristol |0| Mesto |0| že od 1890-ih igrajo rdeče-bele, občasno tudi črne."," Bristol |0| Město |0| hráli v červené a bílé od 90. let 19. století, příležitostně také včetně černé."
279, Notable fans of Bristol |0|  City |0|  include:, Известные фанаты Бристоля |0| Город |0| включать:, Znani fani Bristolu |0| Miasto |0| włączać:, Вядомыя фанаты Брысталя |0| Горад |0| ўключаюць:, Відомі шанувальники Брістоля |0| Місто |0| включати:, Известни фенове на Бристол |0| Град |0| включват:, Pomembni oboževalci Bristola |0| Mesto |0| vključujejo:, Pozoruhodní fanoušci Bristolu |0| Město |0| zahrnout:
280," The prime contractor, responsible for overall system design, integration and support, is Northrop |0|  Grumman |0| ."," Генеральным подрядчиком, отвечающим за общий дизайн системы, интеграцию и поддержку, является Northrop |0| Грумман |0| ."," Głównym wykonawcą, odpowiedzialnym za ogólny projekt systemu, integrację i wsparcie, jest Northrop |0| Grumman |0| ."," Галоўным падрадчыкам, адказным за агульны дызайн, інтэграцыю і падтрымку сістэмы, з'яўляецца Northrop |0| Груман |0| ."," Головним підрядником, відповідальним за загальний дизайн системи, інтеграцію та підтримку, є Northrop |0| Грумман |0| ."," Главният изпълнител, отговорен за цялостното проектиране, интеграция и поддръжка на системата, е Northrop |0| Груман |0| ."," Glavni izvajalec, odgovoren za celotno zasnovo sistema, integracijo in podporo, je Northrop |0| Grumman |0| ."," Hlavním dodavatelem odpovědným za celkový návrh systému, integraci a podporu je Northrop |0| Grumman |0| ."
281," The IUCN |0|  lists six bear species as vulnerable or endangered, and even least concern species such as the brown bear are at risk of extirpation in certain countries."," МСОП |0| перечисляет шесть видов медведей как уязвимые или находящиеся под угрозой исчезновения, и даже наименее опасные виды, такие как бурый медведь, находятся под угрозой исчезновения в некоторых странах."," IUCN |0| wymienia sześć gatunków niedźwiedzi jako zagrożone lub zagrożone, a nawet najmniej niepokojące gatunki, takie jak niedźwiedź brunatny, są zagrożone wyginięciem w niektórych krajach."," МСОП |0| пералічвае шэсць відаў мядзведзяў як уразлівых або якія знаходзяцца пад пагрозай знікнення, і нават найменш заклапочаныя віды, такія як буры мядзведзь, знаходзяцца пад пагрозай знішчэння ў некаторых краінах."," МСОП |0| шість видів ведмедів перелічено як вразливі або під загрозою зникнення, і навіть найменш занепокоєні види, такі як бурий ведмідь, знаходяться під загрозою знищення в деяких країнах.", IUCN |0| изброява шест вида мечки като уязвими или застрашени и дори най-малко опасните видове като кафявата мечка са изложени на риск от екстирпация в някои страни.," IUCN |0| navaja šest vrst medvedov kot ranljivih ali ogroženih in celo najmanj zaskrbljujoče vrste, kot je rjavi medved, so v nekaterih državah v nevarnosti iztrebljanja."," IUCN |0| uvádí šest druhů medvědů jako zranitelných nebo ohrožených, a dokonce i ty nejméně znepokojující druhy, jako je medvěd hnědý, jsou v některých zemích ohroženy vyhynutím."
282," AMD |0|  provided product specifications for some chipsets, and Google |0|  is sponsoring the project."," драм |0| предоставил спецификации некоторых наборов микросхем, а Google |0| является спонсором проекта."," AMD |0| podał specyfikacje produktów dla niektórych chipsetów, a Google |0| sponsoruje projekt."," Драм |0| прадаставіў спецыфікацыі прадуктаў для некаторых набораў мікрасхем, а Google |0| з'яўляецца спонсарам праекта."," Драм |0| надано специфікації продуктів для деяких наборів мікросхем, а Google |0| є спонсором проекту.", AMD |0| предостави продуктови спецификации за някои чипсети и Google |0| спонсорира проекта., AMD |0| zagotovil specifikacije izdelkov za nekatere nabore čipov in Google |0| sponzorira projekt., AMD |0| poskytla specifikace produktu pro některé čipové sady a Google |0| projekt sponzoruje.
283," As of 2010, the remaining Beach |0|  Boys |0|  continue to tour.", По состоянию на 2010 г. оставшийся пляж |0| Мальчики |0| продолжать гастролировать., Od 2010 r. pozostałe plaże |0| Chłopcy |0| kontynuuj trasę.," Па стане на 2010 г., астатнія пляжы |0| Хлопчыкі |0| працягваць гастролі."," Станом на 2010 рік пляж, що залишився |0| Хлопчики |0| продовжувати гастролі.", Към 2010 г. останалите плажове |0| Момчета |0| продължете да обикаляте., Od leta 2010 je preostala plaža |0| Fantje |0| nadaljujte s turnejo., Od roku 2010 zbývající pláž |0| Kluci |0| pokračovat v turné.
284," The opening statement of principles contained in the preamble of the party 's constitution stated that "" The SDP |0|  exists to create and defend an open, classless and more equal society which rejects prejudices based upon sex, race, colour or religion ""."," Во вступительном заявлении о принципах, содержавшемся в преамбуле устава партии, говорилось, что «СДП |0| существует для создания и защиты открытого, бесклассового и более равноправного общества, отвергающего предрассудки по признаку пола, расы, цвета кожи или религии»."," Wstępna deklaracja zasad zawartych w preambule konstytucji partii stwierdzała, że ​​„SDP |0| istnieje po to, by tworzyć i bronić otwartego, bezklasowego i bardziej równego społeczeństwa, które odrzuca uprzedzenia oparte na płci, rasie, kolorze skóry czy religii”."," У пачатку заявы аб прынцыпах, змешчаных у прэамбуле канстытуцыі партыі, сцвярджалася, што ""СДП |0| існуе для стварэння і абароны адкрытага, бескласавага і больш роўнага грамадства, якое адкідае забабоны на аснове полу, расы, колеру скуры або рэлігіі""."," У вступній заяві про принципи, що міститься в преамбулі конституції партії, говорилося, що «СДП |0| існує для створення та захисту відкритого, безкласового та більш рівноправного суспільства, яке відкидає упередження на основі статі, раси, кольору шкіри чи релігії»."," В началното изявление на принципите, съдържащо се в преамбюла на конституцията на партията, се посочва, че „SDP |0| съществува, за да създаде и защитава открито, безкласово и по-равноправно общество, което отхвърля предразсъдъците, основани на пол, раса, цвят или религия“."," V uvodni izjavi o načelih v preambuli ustava stranke je navedeno, da ""SDP |0| obstaja za ustvarjanje in obrambo odprte, brezrazredne in bolj enakopravne družbe, ki zavrača predsodke na podlagi spola, rase, barve kože ali vere""."," Úvodní prohlášení o zásadách obsažených v preambuli stanov strany uvedlo, že „SDP |0| existuje, aby vytvořila a bránila otevřenou, beztřídní a rovnoprávnější společnost, která odmítá předsudky založené na pohlaví, rase, barvě pleti nebo náboženství“."
285, Appalachian |0|  State |0|  is the fifth largest university in the sixteen-campus system., Аппалачи |0| Состояние |0| является пятым по величине университетом в системе из шестнадцати кампусов., Appalachów |0| Stan |0| jest piątą co do wielkości uczelnią w systemie szesnastu kampusów., Апалачы |0| Стан |0| з'яўляецца пятым па велічыні універсітэтам у сістэме шаснаццаці кампуса., Аппалачі |0| Стан |0| є п'ятим за величиною університетом у системі з шістнадцятьма кампусами., Апалачи |0| Състояние |0| е петият по големина университет в системата от шестнадесет кампуса., Appalachian |0| Stanje |0| je peta največja univerza v sistemu šestnajstih kampusov., Appalačské |0| Stav |0| je pátou největší univerzitou v systému šestnácti kampusů.
286, Unisys |0|  is still the provider to SWIFT |0|  today., Юнисис |0| по-прежнему является поставщиком SWIFT |0| сегодня., Unisys |0| jest nadal dostawcą SWIFT |0| Dziś., Unisys |0| па-ранейшаму з'яўляецца пастаўшчыком SWIFT |0| сёння., Unisys |0| все ще є постачальником SWIFT |0| сьогодні., Unisys |0| все още е доставчик на SWIFT |0| днес., Unisys |0| je še vedno ponudnik SWIFT |0| danes., Unisys |0| je stále poskytovatelem SWIFT |0| dnes.
287," Unisys |0|  has continued to evolve as did its predecessor, and as the market for mainframe computers shrank, Unisys |0|  has emphasized other product lines."," Юнисис |0| продолжал развиваться, как и его предшественник, и по мере того, как рынок мейнфреймов сокращался, Unisys |0| сделал акцент на других продуктовых линейках."," Unisys |0| nadal ewoluował, podobnie jak jego poprzednik, a wraz z kurczeniem się rynku komputerów mainframe Unisys |0| podkreślił inne linie produktów."," Unisys |0| працягваў развівацца, як і яго папярэднік, і па меры скарачэння рынку мэйнфреймаў Unisys |0| зрабіў акцэнт на іншых лінейках прадуктаў."," Unisys |0| продовжував розвиватися, як і його попередник, і в міру скорочення ринку мейнфреймів Unisys |0| зробив акцент на інших лінійках продуктів."," Unisys |0| продължи да се развива както предшественика си и тъй като пазарът на мейнфрейм компютри се сви, Unisys |0| наблегна на други продуктови линии."," Unisys |0| se je še naprej razvijal kot njegov predhodnik, in ko se je trg velikih računalnikov skrčil, je Unisys |0| je poudaril druge linije izdelkov."," Unisys |0| se nadále vyvíjel stejně jako jeho předchůdce, a jak se trh sálových počítačů zmenšoval, Unisys |0| kladl důraz na další produktové řady."
288, Boeing |0|  has studied a number of 747 variants that have not gone beyond the concept stage.," Боинг |0| изучила ряд 747 вариантов, не вышедших за рамки концепции."," Boeing |0| przestudiował szereg 747 wariantów, które nie wyszły poza fazę koncepcyjną."," Боінг |0| вывучыў шэраг з 747 варыянтаў, якія не выйшлі за межы стадыі канцэпцыі."," Boeing |0| вивчив ряд 747 варіантів, які не вийшли за межі стадії концепції."," Боинг |0| е проучил редица 747 варианта, които не са надхвърлили етапа на концепцията."," Boeing |0| je preučil več 747 različic, ki niso presegle faze koncepta."," Boeing |0| prostudoval řadu 747 variant, které nepřekročily fázi konceptu."
289," Since May 2006, the simulcast begins with the programme at 06:00 until 08:30 when programming on BBC |0|  News |0|  begins.", С мая 2006 г. одновременная трансляция начинается с программы с 06:00 до 08:30 при программировании на BBC |0| Новости |0| начинается.," Od maja 2006 r. simulcast zaczyna się od 06:00 do 08:30, kiedy programuje się na BBC |0| Aktualności |0| zaczyna się."," З мая 2006 г. адначасовая трансляцыя пачынаецца з праграмы ў 06:00 да 08:30, калі праграма BBC |0| Навіны |0| пачынаецца.", З травня 2006 року одночасна трансляція починається з програми з 06:00 до 08:30 під час програмування на BBC |0| Новини |0| починається.," От май 2006 г. едновременното излъчване започва с програмата от 06:00 до 08:30, когато се предава по BBC |0| Новини |0| започва."," Od maja 2006 se simultana oddaja začne s programom ob 06:00 do 08:30, ko je na programu BBC |0| Novice |0| se začne.", Od května 2006 začíná simulcast s programem od 06:00 do 08:30 při programování na BBC |0| Novinky |0| začíná.
290," As the precedent only applies to television, Sky |0|  News |0|  is not streamed online as the criticism and review provision used does not apply outside broadcast television."," Поскольку прецедент относится только к телевидению, Sky |0| Новости |0| не транслируется в Интернете, поскольку используемое положение о критике и обзоре не применяется за пределами вещательного телевидения."," Ponieważ precedens dotyczy tylko telewizji, Sky |0| Aktualności |0| nie jest transmitowany online, ponieważ zastosowany przepis dotyczący krytyki i recenzji nie ma zastosowania poza telewizją nadawczą."," Паколькі прэцэдэнт датычыцца толькі тэлебачання, Sky |0| Навіны |0| не трансліруецца ў Інтэрнэце, паколькі палажэнне аб крытыцы і аглядзе не распаўсюджваецца па-за межамі тэлевяшчання."," Оскільки прецедент стосується лише телебачення, Sky |0| Новини |0| не транслюється в Інтернеті, оскільки положення про критику та рецензування не поширюються на телевізійне мовлення."," Тъй като прецедентът се отнася само за телевизията, Sky |0| Новини |0| не се предава онлайн, тъй като използваната разпоредба за критика и преглед не се прилага извън излъчваната телевизия."," Ker precedens velja samo za televizijo, Sky |0| Novice |0| se ne pretaka na spletu, saj uporabljena določba o kritiki in pregledu ne velja zunaj televizijskih oddaj."," Jako precedens platí pouze pro televizi, Sky |0| Novinky |0| není přenášen online, protože použitá ustanovení o kritice a přezkumu neplatí mimo televizní vysílání."
291, BT |0|  is the world 's oldest telecommunications company., БТ |0| является старейшей телекоммуникационной компанией в мире., BT |0| jest najstarszą na świecie firmą telekomunikacyjną., BT |0| з'яўляецца найстарэйшай у свеце тэлекамунікацыйнай кампаніяй., BT |0| є найстарішою в світі телекомунікаційною компанією., BT |0| е най-старата телекомуникационна компания в света., BT |0| je najstarejše telekomunikacijsko podjetje na svetu., BT |0| je nejstarší telekomunikační společností na světě.
292, BT |0|  Conferencing |0|  is now the global leader in video conferencing services and solutions., БТ |0| Конференц-связь |0| в настоящее время является мировым лидером в области услуг и решений для видеоконференций., BT |0| Konferencja |0| jest obecnie światowym liderem usług i rozwiązań wideokonferencyjnych., BT |0| Канферэнц-сувязь |0| цяпер з'яўляецца сусветным лідэрам у сферы паслуг і рашэнняў для відэаканферэнцый., BT |0| Конференція |0| зараз є світовим лідером у сфері послуг і рішень для відеоконференцій., BT |0| Конферентна връзка |0| сега е световен лидер в услугите и решенията за видеоконферентна връзка., BT |0| Konferenca |0| je zdaj vodilno podjetje na področju videokonferenčnih storitev in rešitev., BT |0| Konference |0| je nyní globálním lídrem v oblasti videokonferenčních služeb a řešení.
293," In these markets, BT |0|  is required to comply with additional obligations such as meeting reasonable requests to supply services and not to discriminate."," На этих рынках BT |0| требуется для выполнения дополнительных обязательств, таких как удовлетворение разумных запросов на предоставление услуг и недопущение дискриминации."," Na tych rynkach BT |0| jest zobowiązany do przestrzegania dodatkowych obowiązków, takich jak spełnianie uzasadnionych żądań świadczenia usług i niedyskryminowania."," На гэтых рынках BT |0| абавязаны выконваць дадатковыя абавязацельствы, такія як выкананне разумных запытаў на прадастаўленне паслуг і не дыскрымінацыю."," На цих ринках BT |0| зобов'язаний виконувати додаткові зобов'язання, такі як задоволення розумних запитів на надання послуг і не допускати дискримінації."," На тези пазари BT |0| се изисква да спазва допълнителни задължения, като например да отговаря на разумни заявки за предоставяне на услуги и да не дискриминира."," Na teh trgih BT |0| mora izpolnjevati dodatne obveznosti, kot je izpolnjevanje razumnih zahtev za opravljanje storitev in ne diskriminirati."," Na těchto trzích je BT |0| je povinna plnit další povinnosti, jako je vyhovění přiměřeným požadavkům na poskytování služeb a nediskriminovat."
294," As well as continuing to provide service in those traditional areas in which BT |0|  has an obligation to provide services or is closely regulated, BT |0|  has expanded into more profitable products and services where there is less regulation."," А также продолжение предоставления услуг в тех традиционных областях, в которых BT |0| имеет обязательство предоставлять услуги или строго регулируется, BT |0| расширился до более прибыльных продуктов и услуг, где меньше регулирования."," Jak również kontynuację świadczenia usług w tych tradycyjnych obszarach, w których BT |0| ma obowiązek świadczenia usług lub jest ściśle regulowany, BT |0| rozszerzyła się na bardziej dochodowe produkty i usługi, w których jest mniej regulacji."," А таксама працягваць аказваць паслугі ў тых традыцыйных галінах, у якіх BT |0| мае абавязак аказваць паслугі або строга рэгулюецца, BT |0| пашырылася ў больш прыбытковыя прадукты і паслугі, дзе менш рэгулявання."," А також продовжувати надавати послуги в тих традиційних областях, в яких BT |0| має зобов'язання надавати послуги або жорстко регулюється, BT |0| розширився на більш прибуткові продукти та послуги, де менше регулювання."," Както и да продължи да предоставя услуги в онези традиционни области, в които BT |0| има задължение да предоставя услуги или е строго регулиран, BT |0| се разшири в по-печеливши продукти и услуги, където има по-малко регулиране."," Kot tudi nadaljevanje zagotavljanja storitev na tistih tradicionalnih območjih, na katerih BT |0| ima obveznost opravljanja storitev ali je strogo reguliran, BT |0| se je razširil na bolj donosne izdelke in storitve, kjer je manj regulacije."," Stejně jako pokračování v poskytování služeb v těch tradičních oblastech, ve kterých BT |0| má povinnost poskytovat služby nebo je přísně regulována, BT |0| rozšířila do ziskovějších produktů a služeb, kde je méně regulace."
295, BT |0|  Group |0|  is organised into the following business divisions:, БТ |0| Группа |0| состоит из следующих бизнес-подразделений:, BT |0| Grupa |0| jest zorganizowana w następujące działy biznesowe:, BT |0| Група |0| арганізавана ў наступныя бізнес-падраздзяленні:, BT |0| Група |0| організовано у такі бізнес-підрозділи:, BT |0| Група |0| е организирана в следните бизнес подразделения:, BT |0| Skupina |0| je organiziran v naslednje poslovne oddelke:, BT |0| Skupina |0| je organizována do následujících obchodních divizí:
296, BT |0|  has made a habit of adjusting the previous year 's revenue figure every quarter., БТ |0| имеет привычку корректировать показатель выручки за предыдущий год каждый квартал., BT |0| ma zwyczaj co kwartał korygować wielkość przychodów z poprzedniego roku., BT |0| утварылася ў звычку кожны квартал карэктаваць лічбу выручкі за папярэдні год., BT |0| має звичку щоквартально коригувати показник доходу за попередній рік., BT |0| създаде навика да коригира данните за приходите от предходната година всяко тримесечие., BT |0| ima navado vsako četrtletje prilagajati podatke o prihodkih iz prejšnjega leta., BT |0| má ve zvyku každé čtvrtletí upravovat příjmy z předchozího roku.
297, Only once in the past year has BT |0|  adjusted the figure upwards rather than downwards.," Только один раз за последний год BT |0| скорректировал цифру вверх, а не вниз."," Tylko raz w ciągu ostatniego roku BT |0| skorygował liczbę w górę, a nie w dół."," Толькі адзін раз у мінулым годзе БТ |0| скарэкціраваў фігуру ўверх, а не ўніз."," Лише один раз за останній рік BT |0| коригував фігуру вгору, а не вниз."," Само веднъж през изминалата година BT |0| коригира фигурата нагоре, а не надолу.", Samo enkrat v preteklem letu je BT |0| prilagodil sliko navzgor in ne navzdol., Pouze jednou za uplynulý rok bylo BT |0| upravil postavu spíše nahoru než dolů.
298, BT |0|  has made it clear that it has an ambitious plan to reduce carbon dioxide emissions.," БТ |0| ясно дал понять, что у него есть амбициозный план по сокращению выбросов углекислого газа."," BT |0| dał jasno do zrozumienia, że ​​ma ambitny plan ograniczenia emisji dwutlenku węgla."," BT |0| даў зразумець, што мае амбіцыйны план па скарачэнні выкідаў вуглякіслага газу."," BT |0| дала зрозуміти, що має амбітний план скорочення викидів вуглекислого газу."," BT |0| даде да се разбере, че има амбициозен план за намаляване на емисиите на въглероден диоксид."," BT |0| je jasno povedal, da ima ambiciozen načrt za zmanjšanje emisij ogljikovega dioksida."," BT |0| dala jasně najevo, že má ambiciózní plán na snížení emisí oxidu uhličitého."
299," BT |0|  has actually pledged to achieve an 80% reduction by the year 2016, which will require further efficiency improvements."," БТ |0| на самом деле пообещал добиться сокращения на 80% к 2016 году, что потребует дальнейшего повышения эффективности."," BT |0| faktycznie zobowiązał się do osiągnięcia 80% redukcji do roku 2016, co będzie wymagało dalszej poprawy wydajności."," BT |0| фактычна паабяцала дабіцца скарачэння на 80% да 2016 года, што запатрабуе далейшага павышэння эфектыўнасці."," BT |0| фактично пообіцяв досягти скорочення на 80% до 2016 року, що вимагатиме подальшого підвищення ефективності."," BT |0| всъщност се ангажира да постигне 80% намаление до 2016 г., което ще изисква допълнителни подобрения на ефективността."," BT |0| se je dejansko zavezal, da bo do leta 2016 dosegel 80-odstotno zmanjšanje, kar bo zahtevalo nadaljnje izboljšave učinkovitosti."," BT |0| se skutečně zavázala dosáhnout 80% snížení do roku 2016, což si vyžádá další zlepšení účinnosti."
300, The book 's argument is that Germany |0|  is not prepared economically for a long war but might win a lightning war.,"Аргумент книги состоит в том, что Германия |0| не готов экономически к долгой войне, но может выиграть молниеносную войну.","Argumentem książki jest to, że Niemcy |0| nie jest przygotowany ekonomicznie na długą wojnę, ale może wygrać wojnę z piorunami.","Аргумент кнігі заключаецца ў тым, што Германія |0| эканамічна не гатовы да працяглай вайны, але можа выйграць вокамгненную вайну.","Аргумент книги полягає в тому, що Німеччина |0| економічно не готовий до тривалої війни, але може виграти блискавичну війну.","Аргументът на книгата е, че Германия |0| не е подготвен икономически за дълга война, но може да спечели светкавична война.","Argument knjige je, da Nemčija |0| ni ekonomsko pripravljen na dolgo vojno, vendar bi lahko zmagal v bliskovni vojni.","Argument knihy je, že Německo |0| není ekonomicky připraven na dlouhou válku, ale může vyhrát bleskovou válku."
301, The Monkees |0|  are often considered as the original pioneers among boy bands., Обезьяны |0| часто считаются первопроходцами среди бойз-бэндов., Małpy |0| są często uważani za pierwotnych pionierów wśród boysbandów., Малпы |0| часта лічацца першапраходцамі сярод хлопчыкаў-бэндаў., Мавпи |0| часто вважаються оригінальними піонерами серед бойових груп., Маймуните |0| често се смятат за оригинални пионери сред момчешките групи., Opice |0| pogosto veljajo za prvotne pionirje med fantovskimi bendi., The Monkees |0| jsou často považováni za původní průkopníky mezi chlapeckými skupinami.
302, The BIPM |0|  carries out measurement-related research.," МБМВ |0| проводит исследования, связанные с измерениями.", BIPM |0| prowadzi badania związane z pomiarami.," BIPM |0| праводзіць даследаванні, звязаныя з вымярэннямі."," BIPM |0| проводить дослідження, пов’язані з вимірюванням."," BIPM |0| извършва изследвания, свързани с измерване."," BIPM |0| izvaja raziskave, povezane z meritvami.", BIPM |0| provádí výzkum související s měřením.
303, The BIPM |0|  has an important role in maintaining accurate worldwide time of day., МБМВ |0| играет важную роль в поддержании точного времени суток во всем мире., BIPM |0| odgrywa ważną rolę w utrzymywaniu dokładnej pory dnia na całym świecie., BIPM |0| мае важную ролю ў падтрыманні дакладнага часу сутак ва ўсім свеце., BIPM |0| відіграє важливу роль у підтримці точного часу доби в усьому світі., BIPM |0| има важна роля в поддържането на точното време от деня в целия свят., BIPM |0| ima pomembno vlogo pri ohranjanju točnega svetovnega časa dneva., BIPM |0| hraje důležitou roli při udržování přesné celosvětové denní doby.
304," However, the Census |0|  Bureau |0|  notes that these classifications are socio-political constructs and should not be interpreted as scientific or anthropological."," Однако перепись |0| Бюро |0| отмечает, что эти классификации являются социально-политическими конструктами и не должны интерпретироваться как научные или антропологические."," Jednak Spis |0| Biuro |0| Zauważa, że ​​klasyfikacje te są konstruktami społeczno-politycznymi i nie powinny być interpretowane jako naukowe lub antropologiczne."," Аднак перапіс |0| Бюро |0| адзначае, што гэтыя класіфікацыі з'яўляюцца сацыяльна-палітычнымі канструкцыямі і не павінны інтэрпрэтавацца як навуковыя або антрапалагічныя."," Проте перепис |0| Бюро |0| зазначає, що ці класифікації є соціально-політичними конструктами і не повинні інтерпретуватися як наукові чи антропологічні."," Въпреки това, преброяването |0| Бюро |0| отбелязва, че тези класификации са социално-политически конструкции и не трябва да се тълкуват като научни или антропологични."," Vendar pa je Popis |0| Biro |0| ugotavlja, da so te klasifikacije družbenopolitične konstrukcije in jih ne bi smeli razlagati kot znanstvene ali antropološke."," Nicméně sčítání |0| Kancelář |0| poznamenává, že tyto klasifikace jsou sociálně-politické konstrukty a neměly by být vykládány jako vědecké nebo antropologické."
305, Nationwide |0|  is the most notable society to have discontinued the use of roll numbers completely.," По всей стране |0| является наиболее известным обществом, полностью отказавшимся от использования номеров рулонов."," Ogólnopolski |0| jest najbardziej znanym społeczeństwem, które całkowicie zrezygnowało z używania numerów rzutów."," Па ўсёй краіне |0| з'яўляецца найбольш прыкметным грамадствам, якое цалкам спыніла выкарыстанне нумароў."," Загальнодержавна |0| є найпомітнішим суспільством, яке повністю припинило використання номерів."," В цялата страна |0| е най-забележителното общество, което е преустановило напълно използването на номера на ролките."," Po vsej državi |0| je najbolj opazna družba, ki je popolnoma opustila uporabo številk."," Celostátní |0| je nejpozoruhodnější společností, která úplně přestala používat čísla."
